School Name,Degree Level,PGM-CD,Program Name,CIP,Add/Dis/Mov/Red,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510104,ADVANCED NETWORK SECURITY,111003,Approved in 2011,0,0,0,0,0,2,14,14,13,8,11,19,15,4
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510105,CISCO CERTIFIED NETWORK ASSOC (CCNA,111003,Approved in 2011,0,0,0,0,0,0,12,21,13,14,22,19,10,8
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510106,DIGITAL FORENSICS,111003,Approved in 2011,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510107,NETWORK SECURITY,111003,Approved in 2011,0,0,0,0,0,15,34,23,16,28,37,31,25,13
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510108,SERVER ADMINISTRATION & SECURITY,111003,Approved in 2011,0,0,0,0,0,0,3,1,3,4,4,2,2,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510109,CYBER TECHNOLOGY,111003,Approved in 2013,0,0,0,0,0,0,0,32,17,3,5,4,7,5
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510110,ADVANCED DIGITAL FORENSICS,111003,Approved in 2014,0,0,0,0,0,0,0,0,2,5,4,6,20,17
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510111,CISCO CERTIFIED NETWORK PROFESSIONA,111003,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510301,INTERNET APPLICATION DEVELOPMENT,110801,Approved in 2013,0,0,0,0,0,0,0,1,3,2,5,3,3,1
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510302,ADV INTERNET APPLICATION DEVELOPMEN,110801,Discontinued in 2016,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510303,MOBILE DEVICE APP DEVELOPMENT,110899,Approved in 2013,0,0,0,0,0,0,0,1,2,2,2,2,5,1
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,519903,COMPUTER NETWORK MANAGEMENT,110901,Approved in 1991,18,20,22,30,34,29,18,18,15,7,3,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,519904,GENERAL TECHNOLOGY,521299,Approved in 2001,4,2,3,3,7,10,6,6,6,6,3,2,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,519906,UNIX/LINUX SYS ADMINISTRATOR,110901,Approved in 2016,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,520801,PATIENT CARE TECHNICIAN,513902,Approved in 1997,11,14,15,15,20,22,28,15,13,19,16,30,8,2
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,520901,PRACTICAL NURSING,513901,Approved in 2006,0,1,4,11,3,8,11,21,17,12,38,54,58,68
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521401,MEDICAL ASSISTING,510801,Approved in 1982,59,42,50,79,96,75,81,82,58,58,47,29,41,22
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521402,HEALTH CARE DELIVERY SYS,510701,Approved in 2000,0,1,0,0,1,10,13,1,2,2,1,2,4,2
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521403,MEDICAL CODING,510713,Approved in 2000,36,35,39,54,70,65,59,37,39,35,37,18,18,29
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521600,ADDICTION COUNSELING,511501,Approved in 2008,0,0,0,20,38,54,50,57,46,29,44,41,33,27
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521601,HUMAN SERVICES,511502,Approved in 1980,14,18,31,31,22,32,43,34,24,29,31,19,19,9
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521602,VETERANS COUNSELING,511508,Approved in 2012,0,0,0,0,0,0,4,18,7,14,9,4,6,7
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,521700,ELECTROCARDIO & INTRAVENS THERAPY T,510902,Approved in 2009,0,0,0,8,16,19,25,15,8,2,0,4,7,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529905,PHARMACY TECHNICIAN,510899,Approved in 2000,26,32,27,29,35,26,24,31,17,13,20,5,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529908,PHYSICIAN ASSISTANT,510912,Approved in 1995,74,78,71,78,75,78,73,74,38,71,143,118,93,95
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529910,EMT PARAMEDIC,511004,Approved in 1981,7,4,5,16,3,11,2,5,17,1,29,31,31,27
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529911,EMT - INTERMEDIATE,510904,Approved in 2005,14,4,2,6,1,1,0,0,0,0,8,7,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529915,AGING STUDIES,301101,Discontinued in 2016,0,4,1,2,2,4,5,4,0,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529916,MASSAGE THERAPY,150701,Approved in 2002,57,48,65,43,42,53,52,30,50,38,21,27,30,12
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,529917,HOME HEALTH CAREGIVER,512602,Discontinued in 2016,0,0,0,1,0,2,2,0,2,2,1,1,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,530301,DESIGNING AND DRAFTING TECH,151301,,10,11,8,15,9,10,14,12,17,12,7,7,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,530402,LANDSCAPE DESIGN,10601,Approved in 2007,0,0,3,9,8,9,8,5,6,5,5,4,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,530407,ARCHITECTURE AND INTERIOR DESIGN,500408,Approved in 1996,33,32,33,36,38,30,25,41,37,25,29,29,16,13
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,530408,ADVANCED INTERIOR DESIGN,500408,Approved in 2008,0,0,0,6,0,3,3,5,5,5,3,1,4,2
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,530409,ARCHITECTURE CAD,151303,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,1,9,11
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,531001,ELECTRONICS TECHNOLOGY,150303,,25,31,29,31,40,45,38,49,20,15,13,2,3,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,531002,ALTERNATIVE & SUSTAINABLE ENERGY SY,150503,Approved in 2008,0,0,0,2,4,4,4,1,2,0,1,0,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,531003,MECHATRONICS TECHNOLOGY,144201,Approved in 2014,0,0,0,0,0,0,0,0,13,5,12,9,7,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,531701,CONSTRUCTION  MNGMNT ENTREPRENEURSH,520701,Approved in 2009,0,0,0,0,0,2,0,2,0,4,3,3,0,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,531702,CONSTRUCTION MANAGEMENT,520701,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,0,9,13
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,550301,EARLY CHILDHOOD DEVELOPMENT,190708,Approved in 2006,0,0,0,14,23,18,13,4,1,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,550302,SPECIAL EDUCATION SUPPORT,131001,Approved in 2005,27,34,30,16,30,31,16,14,6,12,14,17,18,8
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,550320,TEACHING PARAPROFESSIONAL,139999,Approved in 2004,14,18,9,8,18,15,11,5,1,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,550501,LAW ENFORCEMENT & CRIMINAL JUSTICE,430107,,38,25,48,40,69,61,52,55,43,44,32,34,21,17
